Student_ID,Weekly_Study_Hours,Attendance_Rate,Sleep_Hours,Previous_Scores,Internet_Usage_Time,Parent_Education_Level,Distance_to_School,Stress_Level,Practice_Exams_Passed,Extracurricular_Activities,Exam_Score
10077,21.6,93.25,8.9,61.59,7.0,Lise,11.22,4,12,1.9,55.27
10078,30.7,83.78,7.3,74.56,5.6,Lise,34.28,4,13,5.2,68.19
10079,26.9,89.28,8.7,76.54,8.2,Lise,14.19,3,12,10.0,65.53
10080,30.5,80.57,8.4,76.42,5.6,Üniversite,38.94,3,13,2.5,58.83
10081,8.5,83.57,9.5,54.09,8.9,Yok,39.2,1,3,13.8,47.23
10082,24.3,90.2,8.2,88.49,6.7,Üniversite,11.1,5,11,18.5,65.29
10083,29.4,91.28,8.5,64.69,6.4,Üniversite,2.12,3,11,3.5,65.55
10084,11.6,82.92,10.0,27.36,8.8,Yok,28.35,1,4,16.8,32.55
10085,13.4,82.93,8.8,70.45,8.4,Yok,18.31,2,8,6.0,49.99
10086,18.7,97.22,8.4,61.07,6.9,Yok,4.48,2,8,10.0,57.89
10087,15.5,80.41,9.4,70.71,7.7,Yok,28.45,3,9,1.8,52.04
10088,29.7,94.25,6.5,43.62,7.6,Lise,1.73,6,14,4.8,57.05
10089,18.4,80.83,7.3,33.69,8.0,Ortaokul,34.87,4,8,3.2,43.39
10090,19.8,92.42,8.1,83.39,8.0,Ortaokul,5.98,4,9,3.2,58.16
10091,15.3,94.54,8.9,32.13,9.0,Yok,5.53,2,7,18.7,42.18
10092,28.9,93.78,7.2,76.53,7.1,Ortaokul,7.44,6,15,7.3,61.24
10093,22.6,78.31,7.6,77.28,6.7,Ortaokul,38.43,3,11,3.9,58.74
10094,13.4,88.4,8.7,62.98,8.7,Yok,27.88,2,8,3.4,52.84
10095,17.1,81.25,9.3,39.22,8.3,Ortaokul,32.15,4,6,13.5,40.22
10096,24.1,86.27,7.9,76.71,5.5,Üniversite,16.21,3,9,14.4,71.64
10097,19.5,90.92,9.0,76.9,6.0,İlkokul,13.78,2,10,19.6,59.05
10098,11.2,93.92,9.2,51.4,9.0,İlkokul,9.76,2,6,12.5,40.25
10099,17.5,90.07,9.4,46.74,7.3,Yok,5.0,3,11,9.2,54.73
10100,17.5,90.26,8.5,60.36,7.4,Lise,22.3,2,8,4.5,51.61
10101,13.7,88.92,9.1,28.52,8.6,Yok,25.46,3,6,0.8,31.63
10102,24.5,94.07,8.2,85.06,7.1,Lise,10.66,3,13,17.6,71.72
10103,20.0,84.62,8.3,75.81,7.4,İlkokul,37.97,5,9,15.8,58.23
10104,16.9,94.46,9.1,78.89,9.0,Yok,7.21,2,8,15.9,63.2
10105,26.6,81.48,8.2,72.19,6.6,Üniversite,38.64,5,13,10.0,59.88
10106,23.7,89.61,8.2,73.32,7.4,Ortaokul,1.09,3,12,7.2,57.94
10107,18.7,82.28,7.6,47.15,7.2,Lise,19.5,3,8,15.7,47.62
10108,14.4,92.66,8.3,68.71,9.0,Ortaokul,13.67,2,9,13.8,54.14
10109,22.5,90.57,7.8,67.74,7.6,Ortaokul,18.24,4,10,13.0,63.49
10110,19.6,85.86,8.6,73.57,9.0,Yok,23.04,4,11,11.1,49.44
10111,16.9,91.43,8.7,77.69,7.6,Ortaokul,17.71,3,6,7.4,54.08
10112,24.8,88.21,7.7,91.62,7.3,Üniversite,16.89,4,11,14.8,70.12
10113,21.6,84.23,7.9,79.79,7.4,Ortaokul,29.44,3,11,7.2,66.05
10114,8.6,85.72,9.7,71.78,9.0,Yok,27.59,2,6,14.7,43.77
10115,24.4,78.41,7.7,43.5,7.4,Üniversite,33.41,5,13,3.8,45.73
10116,18.2,87.57,7.3,74.53,7.7,İlkokul,10.37,3,7,11.8,58.64
10117,22.0,80.29,8.4,65.41,6.5,Ortaokul,24.58,4,11,7.1,46.35
10118,9.5,88.32,9.0,44.92,7.6,Yok,23.62,1,4,16.6,39.37
10119,21.7,85.08,8.7,31.11,7.5,İlkokul,15.1,2,9,10.4,48.72
10120,13.1,86.74,8.6,65.27,8.1,İlkokul,19.7,1,8,12.5,51.73
10121,19.1,88.93,8.4,54.05,4.5,Lise,12.89,4,11,1.7,55.47
10122,29.7,88.6,7.8,65.73,6.0,Üniversite,6.1,6,13,9.9,59.39
10123,16.8,87.0,7.6,69.5,6.9,Ortaokul,8.95,4,6,15.6,49.05
10124,18.5,90.86,8.2,74.15,9.0,Yok,4.67,2,9,17.2,64.29
10125,27.7,85.53,7.4,81.4,6.6,Lise,27.48,5,11,14.4,65.71
10126,18.7,84.46,8.3,64.78,9.0,Üniversite,26.6,2,10,8.4,52.35
10127,18.9,78.63,8.3,57.33,8.2,Lise,38.05,4,11,5.1,45.14
10128,23.7,79.98,8.1,53.19,8.2,Üniversite,29.32,3,10,7.8,52.13
10129,25.9,92.4,8.0,60.48,9.0,Üniversite,2.56,4,11,11.2,58.54
10130,13.4,82.17,9.3,38.11,9.0,Ortaokul,35.43,2,6,0.1,39.85
10131,36.4,81.99,7.4,93.41,8.8,Üniversite,34.58,7,18,18.2,71.34
10132,25.1,92.29,8.6,67.57,7.6,Lise,18.01,3,12,6.9,65.65
10133,25.2,81.3,8.5,47.03,8.2,Üniversite,23.64,3,13,15.9,61.62
10134,21.6,83.5,9.0,51.4,7.1,Ortaokul,39.06,2,12,10.7,54.86
10135,14.1,85.59,9.5,62.09,6.9,Ortaokul,21.53,2,8,13.2,46.13
10136,22.3,76.78,8.0,65.31,4.8,Lise,36.26,2,11,15.2,61.12
10137,13.4,94.28,8.8,29.95,9.0,İlkokul,3.78,1,7,5.8,39.25
10138,20.0,88.78,8.3,80.3,7.1,İlkokul,8.05,5,9,12.1,58.33
10139,24.1,84.8,8.7,55.15,6.8,Üniversite,17.91,3,9,15.0,57.36
10140,2.3,89.96,9.7,24.89,7.6,Yok,23.6,1,4,15.4,28.07
10141,22.1,82.78,8.6,44.2,6.7,Üniversite,32.74,2,12,8.3,50.01
10142,22.0,77.28,7.3,67.91,9.0,Lise,39.54,4,12,14.6,56.5
10143,11.1,89.43,8.1,43.58,7.8,Lise,15.86,1,7,6.0,43.35
10144,20.4,93.6,9.0,38.29,8.0,Lise,2.37,3,10,2.5,42.39
10145,16.8,81.2,8.9,56.88,8.5,Lise,32.15,3,10,2.3,51.56
10146,22.0,88.74,8.9,70.25,5.9,Lise,24.37,5,11,10.1,65.01
10147,20.0,92.54,8.0,38.15,8.7,Ortaokul,8.34,2,8,7.7,47.51
10148,8.4,91.7,9.5,45.23,7.8,İlkokul,20.05,1,3,4.6,41.87
10149,14.9,86.58,8.1,58.98,8.1,Lise,29.82,2,7,7.8,47.02
10150,14.1,82.5,9.4,32.77,7.9,Yok,30.93,2,6,8.2,32.79
10151,12.4,86.17,9.1,51.83,8.6,Yok,5.0,1,4,11.1,43.73
10152,9.7,93.52,9.2,28.69,9.0,Yok,12.56,2,3,1.2,40.06
10153,11.3,76.86,9.6,26.56,7.8,Yok,38.96,1,4,18.2,33.85
10154,13.1,85.59,8.4,60.59,7.8,Ortaokul,26.7,2,8,7.4,54.48
10155,11.0,84.14,9.1,37.63,7.6,Yok,16.63,1,4,12.3,45.74
10156,18.7,91.49,7.8,41.25,6.7,Lise,11.58,3,10,6.1,49.65
10157,31.6,86.75,8.2,63.32,7.0,Üniversite,29.38,5,13,15.2,63.13
10158,14.5,88.39,8.9,74.33,7.9,Yok,10.07,1,5,9.2,51.46
10159,24.9,91.41,8.3,71.83,7.9,Ortaokul,7.28,4,13,6.4,62.94
10160,22.5,87.56,8.4,76.86,6.3,Ortaokul,21.43,2,12,19.3,60.57
10161,13.3,91.66,9.7,71.96,7.6,Yok,11.95,1,8,17.3,57.85
10162,26.5,88.36,8.0,93.49,7.9,Üniversite,25.34,5,12,3.6,71.61
10163,20.4,94.53,9.3,65.98,7.8,Yok,5.16,4,8,14.0,50.21
10164,23.9,89.16,8.6,65.46,5.6,Ortaokul,26.37,4,9,15.1,66.89
10165,14.1,90.3,7.7,48.1,7.7,İlkokul,5.0,3,7,0.7,42.22
10166,21.3,90.83,8.7,45.99,8.3,Lise,0.51,4,11,19.2,53.23
10167,17.3,89.84,9.1,69.77,7.8,Ortaokul,5.51,1,9,4.7,58.04
10168,18.1,84.76,8.9,78.72,9.0,Yok,37.38,3,9,18.2,52.14
10169,20.5,77.28,8.5,61.7,6.2,Lise,34.76,2,9,13.1,51.15
10170,20.3,91.59,8.3,63.8,8.8,Yok,9.73,4,11,10.2,52.18
10171,16.5,85.59,8.7,51.23,6.8,Yok,31.25,3,6,15.7,46.85
10172,14.1,82.66,9.6,51.76,8.6,İlkokul,24.54,3,6,13.5,41.56
10173,19.5,81.23,9.2,58.57,8.6,Lise,38.85,4,11,14.8,52.5
10174,22.4,91.36,8.1,63.75,7.4,Lise,15.26,4,10,17.2,54.39
10175,15.6,87.42,8.4,48.18,8.7,İlkokul,27.42,2,9,9.4,47.15
10176,20.9,93.93,9.0,73.18,8.5,Ortaokul,3.01,2,11,8.5,57.75
10177,16.4,92.61,9.2,72.08,7.6,Yok,16.15,2,8,18.0,60.22
10178,33.8,76.72,7.4,88.56,5.6,Üniversite,38.57,6,16,16.0,75.73
10179,10.7,86.58,8.7,36.52,8.5,Yok,5.0,1,7,0.4,28.52
10180,19.2,90.78,7.6,73.28,6.9,Yok,11.87,5,7,13.1,60.0
10181,28.3,97.88,8.1,50.79,5.4,Ortaokul,5.25,6,11,18.1,52.38
10182,9.8,80.51,9.0,41.01,9.0,Yok,28.29,1,6,13.7,32.21
10183,20.0,84.68,8.1,67.97,8.2,İlkokul,25.97,4,10,11.1,58.18
10184,16.7,89.49,8.9,44.76,9.0,İlkokul,15.27,1,9,3.5,44.33
10185,18.8,77.16,8.2,38.91,8.4,Lise,38.06,4,10,19.0,50.03
10186,24.2,98.82,7.8,60.55,6.7,Üniversite,1.38,4,10,12.5,65.44
10187,13.0,91.33,8.6,63.68,7.3,Yok,12.5,3,5,2.0,46.17
10188,14.7,79.49,9.2,41.98,7.7,Yok,36.88,1,8,18.6,40.04
10189,13.6,90.12,8.4,66.63,9.0,Ortaokul,13.18,3,8,10.3,56.68
10190,25.8,94.0,7.2,64.31,6.2,İlkokul,10.46,6,10,3.1,57.95
10191,33.9,88.37,6.8,80.36,7.2,Üniversite,21.6,6,17,4.5,64.0
10192,24.5,83.78,8.8,85.34,6.7,Lise,33.04,4,12,19.4,62.62
10193,21.0,88.25,8.0,51.79,6.3,İlkokul,4.57,4,10,8.7,54.32
10194,18.6,81.64,8.8,45.15,7.5,Lise,37.75,3,8,8.4,41.88
10195,18.5,85.19,8.4,49.54,8.0,Ortaokul,31.91,4,11,9.7,57.34
10196,16.6,88.71,8.6,55.77,9.0,Ortaokul,7.66,1,10,14.0,49.72
10197,19.8,84.34,9.1,63.26,7.7,Yok,28.62,2,7,7.3,48.9
10198,18.8,89.28,8.6,40.72,7.1,Üniversite,15.71,4,8,10.0,44.02
10199,24.1,87.95,8.9,53.37,7.6,Lise,16.39,3,11,14.9,59.91
10200,19.5,81.47,9.4,70.89,8.8,İlkokul,31.44,3,8,9.2,51.24
10201,21.3,78.68,9.1,68.9,7.6,Ortaokul,5.0,2,12,14.3,60.06
10202,10.7,97.45,8.9,64.25,7.1,Yok,5.5,2,8,19.2,57.9
10203,17.5,84.97,8.7,68.65,7.6,Yok,17.11,3,8,19.3,55.97
10204,20.3,90.25,9.1,79.08,8.3,Lise,19.5,3,8,8.9,60.89
10205,21.7,90.93,8.7,69.52,8.6,Ortaokul,15.36,4,8,4.7,51.43
10206,32.4,92.33,8.0,64.18,6.3,Üniversite,14.85,6,16,5.0,61.81
10207,18.4,91.3,9.2,86.1,7.7,Ortaokul,2.56,4,9,16.4,57.52
10208,22.5,83.13,8.9,67.3,6.8,Lise,27.58,2,13,1.6,58.71
10209,17.5,85.35,8.1,47.15,8.6,Lise,17.73,4,8,0.8,54.19
10210,14.1,90.19,8.8,48.1,7.3,Ortaokul,8.19,2,8,13.6,46.44
10211,21.0,85.87,8.0,74.15,6.9,Lise,32.73,3,11,18.2,64.43
10212,29.3,84.1,7.6,82.86,7.9,Ortaokul,32.2,6,13,4.6,66.33
10213,21.6,87.04,8.4,37.83,8.4,İlkokul,19.71,4,10,1.1,46.02
10214,12.3,92.04,9.1,36.53,9.0,Ortaokul,12.29,2,6,17.9,41.54
10215,24.7,87.65,8.4,80.48,6.4,Ortaokul,25.7,5,9,7.1,60.23
10216,22.3,86.55,7.6,86.34,7.6,Lise,11.88,4,12,11.0,64.37
10217,18.0,88.59,7.8,51.2,9.0,Lise,9.82,4,8,16.7,52.03
10218,5.5,84.81,10.0,44.75,9.0,Yok,29.36,1,6,10.0,38.48
10219,24.6,91.51,8.7,60.31,8.1,Yok,5.0,5,10,12.0,56.51
10220,20.3,92.03,8.5,46.15,8.3,İlkokul,4.24,2,11,19.8,52.48
10221,15.2,99.65,7.4,72.24,9.0,Yok,0.77,2,10,14.8,55.83
10222,17.8,93.58,8.2,37.92,8.6,Ortaokul,6.54,2,8,7.9,51.12
10223,17.1,95.81,8.9,38.09,8.2,Lise,3.23,2,7,15.4,52.71
10224,16.1,81.89,9.1,35.47,8.4,Yok,39.83,3,9,0.4,43.9
10225,11.6,92.72,8.9,39.73,8.8,Yok,11.91,2,8,4.3,37.94
10226,13.4,88.02,9.2,34.21,9.0,İlkokul,6.4,1,9,14.9,40.67
10227,11.1,91.13,9.1,31.61,9.0,İlkokul,10.02,1,4,5.2,43.9
10228,24.4,76.53,8.6,73.56,8.7,Ortaokul,37.48,3,13,2.5,62.41
10229,28.6,89.44,7.7,45.04,4.6,Lise,21.05,4,14,5.9,55.47
10230,19.6,92.29,8.4,78.27,7.4,İlkokul,14.91,3,8,3.4,55.4
10231,12.5,77.11,8.8,44.24,7.6,Yok,35.0,1,7,8.4,40.2
10232,23.8,88.6,8.5,72.88,9.0,Lise,5.0,5,12,2.5,64.43
10233,21.3,85.56,8.5,48.4,6.7,Lise,13.73,4,11,16.8,49.94
10234,11.4,95.89,8.5,37.22,9.0,Yok,8.69,1,8,15.6,43.81
10235,16.4,84.67,8.9,59.61,9.0,İlkokul,15.42,2,8,6.1,53.35
10236,15.6,90.64,8.8,54.84,8.5,Yok,13.01,3,9,10.4,48.24
10237,17.7,87.54,9.1,78.28,7.5,Lise,27.25,4,8,17.1,57.6
10238,25.1,88.39,8.0,81.68,7.2,Üniversite,11.94,3,10,18.6,73.23
10239,18.5,82.71,8.0,76.89,6.4,Üniversite,23.3,4,11,1.8,55.32
10240,17.5,98.29,8.4,56.7,6.4,Ortaokul,3.1,1,9,14.4,62.72
10241,14.2,86.91,9.8,72.99,8.9,Yok,8.06,2,7,2.7,50.71
10242,18.2,86.39,8.4,58.24,5.4,Yok,16.59,1,10,0.4,48.72
10243,21.0,81.78,8.8,86.46,7.4,Ortaokul,37.51,4,9,1.6,59.96
10244,21.1,92.33,7.6,77.07,7.4,Ortaokul,15.4,3,8,11.5,58.33
10245,7.6,85.38,9.6,34.44,9.0,Ortaokul,26.73,1,5,7.5,29.47
10246,25.1,93.56,7.2,53.63,7.5,Lise,5.0,3,14,2.4,66.75
10247,11.0,92.85,9.2,55.45,8.4,Yok,5.52,1,5,9.5,48.08
10248,22.4,91.06,7.8,75.68,8.3,Lise,2.81,4,12,10.2,61.43
10249,23.5,88.37,7.7,62.27,7.4,Ortaokul,12.56,5,12,15.7,57.34
10250,20.2,92.95,7.9,67.24,6.5,Yok,6.73,5,8,13.3,63.45
10251,16.3,95.86,8.6,51.55,8.4,Lise,7.37,3,10,9.3,58.07
10252,22.0,78.21,7.3,46.12,7.5,Lise,30.55,5,8,6.5,43.58
10253,11.6,96.85,8.3,34.97,8.7,Ortaokul,1.13,3,8,0.0,42.15
10254,16.3,88.21,8.7,55.53,8.5,Yok,22.53,1,8,16.6,48.47
10255,18.3,87.35,7.7,69.87,8.9,Ortaokul,15.49,2,9,5.3,57.4
10256,9.2,84.09,8.5,41.94,9.0,Yok,20.51,1,6,4.3,35.35
10257,26.2,81.07,8.8,73.75,5.6,Üniversite,22.73,4,11,14.7,56.42
10258,10.7,85.16,9.9,30.87,7.2,İlkokul,12.88,3,4,1.4,31.26
10259,22.1,86.0,7.8,33.46,7.0,İlkokul,12.16,4,9,5.3,50.33
10260,16.5,83.86,8.8,66.6,7.6,İlkokul,29.47,3,7,8.7,47.52
10261,14.1,84.37,8.5,52.24,8.7,Ortaokul,34.92,3,6,8.8,45.72
10262,22.9,90.91,7.8,76.92,8.6,Üniversite,8.11,5,10,3.2,62.14
10263,17.4,98.09,7.0,69.74,9.0,Yok,4.36,4,7,0.8,50.57
10264,25.9,83.65,8.7,82.89,6.3,Lise,35.96,5,14,9.4,64.65
10265,13.3,94.25,9.2,33.47,6.7,Yok,14.32,1,6,7.1,40.22
10266,26.1,89.28,8.3,62.75,6.9,Lise,22.28,4,10,5.7,57.66
10267,10.0,89.37,9.5,64.37,9.0,Yok,14.7,1,5,5.4,38.62
10268,31.2,93.88,7.4,82.57,5.8,Üniversite,5.47,5,13,10.1,73.64
10269,21.2,86.8,8.1,79.16,7.5,Lise,23.78,3,11,0.4,57.71
10270,19.3,83.19,8.4,44.55,7.5,Ortaokul,21.24,4,7,2.1,44.91
10271,19.1,89.84,9.2,34.59,9.0,Yok,8.52,3,11,6.5,48.09
10272,12.3,83.3,9.0,56.45,9.0,Yok,18.35,2,6,9.6,46.17
10273,21.2,82.75,9.3,76.76,8.1,Lise,31.98,2,10,13.9,56.88
10274,14.3,87.75,8.5,49.55,9.0,Ortaokul,23.82,4,7,5.9,40.66
10275,15.3,97.04,8.0,37.76,6.8,Ortaokul,4.33,3,9,13.3,47.96
10276,32.0,84.42,7.0,79.42,5.7,Üniversite,22.15,4,13,7.7,74.39
10277,13.8,80.28,8.8,48.48,9.0,Ortaokul,28.26,1,9,15.5,42.18
10278,15.2,85.44,9.5,41.15,8.6,Ortaokul,31.81,3,10,9.6,40.16
10279,20.9,81.07,8.1,40.12,8.0,Ortaokul,25.35,5,12,10.8,42.07
10280,18.3,92.13,7.8,45.32,6.1,İlkokul,6.53,3,8,8.7,52.25
10281,23.9,87.14,8.1,72.6,5.0,Üniversite,28.55,4,13,2.7,61.49
10282,12.7,82.67,9.6,43.71,9.0,Yok,27.26,3,9,3.4,35.45
10283,22.2,94.21,8.2,37.14,7.2,Lise,1.46,4,10,8.0,48.61
10284,17.7,93.01,8.7,29.33,6.2,Yok,16.76,4,8,2.0,45.43
10285,30.2,90.55,7.6,55.98,6.3,Üniversite,13.65,5,12,2.8,62.47
10286,29.4,81.38,7.5,72.28,5.0,Lise,26.94,6,11,12.5,60.91
10287,19.1,90.83,9.7,45.42,6.6,Üniversite,9.04,3,7,12.7,54.46
10288,27.7,87.64,8.4,62.84,5.9,Ortaokul,23.84,5,14,2.5,65.63
10289,16.4,76.08,9.6,42.59,6.6,Lise,36.57,1,8,17.1,47.85
10290,10.9,84.82,10.0,43.64,5.3,Ortaokul,32.01,1,8,17.1,45.61
10291,12.5,82.71,9.6,33.47,9.0,Yok,36.9,2,6,7.6,41.6
10292,17.1,80.79,8.4,27.7,7.4,Yok,39.15,3,7,10.0,42.76
10293,26.6,90.69,8.3,72.92,7.8,Lise,0.92,4,11,16.0,66.24
10294,21.9,84.88,9.2,61.49,7.4,Lise,25.1,3,10,15.3,60.73
10295,29.0,86.46,7.9,85.71,4.7,Üniversite,16.81,6,12,7.3,72.73
10296,23.9,76.45,7.9,45.44,7.1,Üniversite,34.46,4,11,6.3,47.09
10297,17.6,87.99,9.3,39.96,9.0,Ortaokul,10.45,1,9,13.3,53.9
10298,19.7,82.57,7.8,52.86,7.5,Lise,39.25,2,9,7.3,55.89
10299,14.0,82.22,9.0,66.12,7.6,Yok,24.74,3,5,13.8,52.47
10300,24.0,79.78,8.5,56.82,5.7,Üniversite,31.84,4,13,2.6,58.03
10301,23.9,96.12,8.0,62.46,6.6,Üniversite,3.88,2,10,13.4,67.39
10302,13.1,93.65,9.3,40.59,7.3,Yok,7.75,1,9,15.7,45.82
10303,25.8,80.72,8.3,44.41,6.4,Üniversite,30.46,5,14,18.1,59.08
10304,20.0,97.07,8.5,83.67,5.1,Ortaokul,5.0,5,11,9.1,63.26
10305,22.1,84.81,8.1,66.17,6.1,Lise,32.77,2,12,11.2,57.77
10306,17.9,92.54,8.4,67.33,8.5,Yok,1.05,2,9,5.8,45.79
10307,34.3,80.61,7.2,72.21,6.0,Lise,26.46,4,14,3.0,68.85
10308,20.9,93.28,7.6,68.28,7.2,Üniversite,14.92,5,11,3.5,62.76
10309,26.1,85.68,8.6,44.93,5.6,Üniversite,24.65,3,14,10.0,65.54
10310,14.7,82.73,9.1,59.35,7.6,Yok,27.99,1,9,10.8,46.69
