Attendance_Rate,Sleep_Hours,Previous_Scores,Internet_Usage_Time,Distance_to_School,Stress_Level,Practice_Exams_Passed,Exam_Score,total_study_load,attendance_to_study_ratio,stress_x_study,prev_efficiency,PE_Ortaokul,PE_Yok,PE_Üniversite,PE_İlkokul
86.27,8.2,66.2,7.1,11.29,4,13,61.19,37.2,3.4234126984126982,96.8,2.626984126984127,True,False,False,False
90.84,7.5,81.83,6.6,8.78,5,9,65.45,31.2,3.9155172413793107,111.0,3.527155172413793,False,False,True,False
84.34,8.8,63.91,7.6,18.49,1,9,52.21,21.5,6.247407407407407,12.5,4.734074074074074,False,True,False,False
81.35,8.7,66.06,7.4,36.38,5,12,54.74,36.1,3.241035856573705,120.5,2.6318725099601594,False,False,False,True
97.28,9.2,81.18,8.3,4.63,3,7,61.84,22.3,5.968098159509203,45.900000000000006,4.980368098159509,False,False,False,False
78.48,8.4,59.51,8.6,5.0,3,7,48.88,20.4,5.45,40.2,4.132638888888889,False,True,False,False
87.28,9.3,58.13,7.6,27.65,4,12,57.0,33.2,3.931531531531532,84.8,2.6184684684684685,False,False,False,False
95.77,8.0,53.96,9.0,4.28,2,10,55.47,28.5,4.911282051282051,37.0,2.767179487179487,False,False,False,True
83.59,8.4,67.42,9.0,36.94,3,9,39.68,26.2,4.592857142857143,51.599999999999994,3.7043956043956046,False,False,False,True
87.44,9.2,72.2,7.0,22.95,1,5,44.75,18.3,6.114685314685314,13.3,5.048951048951049,False,True,False,False
91.16,8.3,42.97,7.1,14.87,4,11,57.34,31.0,4.3409523809523805,80.0,2.046190476190476,False,False,False,True
81.84,7.6,58.81,6.3,30.38,6,11,53.07,39.0,2.8220689655172415,168.0,2.0279310344827586,False,False,True,False
85.77,8.5,79.19,6.2,10.67,2,10,64.7,29.4,4.204411764705882,38.8,3.881862745098039,False,False,False,True
88.32,9.2,67.82,9.0,27.89,2,10,48.76,26.0,5.195294117647059,32.0,3.9894117647058818,False,False,False,False
91.39,9.3,45.84,7.6,2.07,2,10,49.09,31.1,4.135294117647058,42.2,2.0742081447963803,False,False,False,False
85.26,8.2,72.5,5.9,33.66,4,10,64.05,34.6,3.33046875,98.4,2.83203125,False,False,False,False
92.52,7.8,90.49,8.2,18.2,4,12,74.87,35.9,3.7156626506024097,95.6,3.634136546184739,False,False,False,False
83.35,8.5,85.29,7.7,25.65,4,10,62.61,30.0,3.9690476190476187,80.0,4.061428571428571,False,False,True,False
87.57,9.3,73.02,6.7,9.24,2,8,61.72,28.9,3.9986301369863013,41.8,3.334246575342466,True,False,False,False
87.34,9.2,35.44,8.9,27.24,1,8,35.01,23.4,5.3256097560975615,15.4,2.1609756097560977,False,True,False,False
84.18,8.3,84.19,7.4,31.0,4,15,61.08,44.3,2.7782178217821785,117.2,2.7785478547854785,False,False,False,False
90.64,9.0,56.92,8.6,19.19,1,10,51.85,27.4,4.92608695652174,17.4,3.0934782608695657,False,False,False,True
80.97,8.6,84.91,7.8,5.0,4,11,63.52,34.2,3.3458677685950415,92.8,3.5086776859504134,False,False,False,False
89.89,8.5,46.14,7.0,18.52,2,11,49.88,29.9,4.517085427135679,37.8,2.318592964824121,False,False,False,True
81.23,10.0,31.41,7.3,35.82,1,4,42.19,13.2,7.9637254901960794,9.2,3.0794117647058825,False,False,False,True
82.99,7.2,62.18,6.8,20.17,4,10,44.77,26.9,4.636312849162011,67.6,3.473743016759777,False,False,False,False
80.97,8.5,54.84,6.8,33.75,3,10,52.29,32.9,3.387866108786611,68.69999999999999,2.294560669456067,False,False,True,False
77.81,8.2,67.34,5.2,32.15,5,13,65.81,38.3,2.958555133079848,126.5,2.5604562737642587,False,False,False,True
84.05,7.4,80.64,8.5,16.71,5,14,68.09,41.4,2.959507042253521,137.0,2.83943661971831,False,False,False,True
91.55,8.7,74.0,6.7,9.59,2,11,57.29,29.8,4.623737373737374,37.6,3.7373737373737375,False,False,False,False
87.56,8.8,76.78,7.6,16.54,2,8,49.79,26.8,4.4222222222222225,37.6,3.8777777777777778,False,False,False,True
84.44,7.0,52.92,6.9,33.14,6,13,51.73,39.7,3.0483754512635377,160.2,1.9104693140794224,False,False,False,True
86.3,8.4,78.44,8.5,9.49,3,11,56.74,33.0,3.752173913043478,66.0,3.4104347826086956,False,False,False,False
88.73,8.1,82.37,6.7,21.22,5,12,67.95,43.8,2.7051829268292686,159.0,2.5112804878048784,False,False,False,False
79.23,9.2,63.1,7.8,32.34,4,11,59.51,31.4,3.7023364485981314,81.6,2.9485981308411215,False,True,False,False
91.09,7.9,67.93,8.7,14.46,3,13,61.57,43.0,2.9383870967741936,90.0,2.1912903225806453,False,False,True,False
86.52,8.0,74.42,8.7,25.87,4,9,58.46,33.4,3.4062992125984253,97.6,2.9299212598425197,False,False,True,False
94.88,9.1,66.53,8.3,10.2,3,9,59.7,26.3,5.184699453551912,51.900000000000006,3.63551912568306,False,False,False,True
92.47,8.0,53.92,8.0,4.82,4,8,54.1,27.4,4.532843137254902,77.6,2.643137254901961,False,False,True,False
84.8,8.6,72.53,7.1,31.88,5,11,64.05,34.1,3.518672199170124,115.5,3.0095435684647303,False,False,False,True
96.75,9.0,76.27,9.0,4.41,2,4,55.27,15.9,7.5,23.8,5.912403100775193,False,True,False,False
93.25,8.9,61.59,7.0,11.22,4,12,55.27,33.6,4.126106194690265,86.4,2.7252212389380532,False,False,False,False
83.78,7.3,74.56,5.6,34.28,4,13,68.19,43.7,2.642902208201893,122.8,2.35205047318612,False,False,False,False
89.28,8.7,76.54,8.2,14.19,3,12,65.53,38.9,3.2,80.69999999999999,2.7433691756272407,False,False,False,False
80.57,8.4,76.42,5.6,38.94,3,13,58.83,43.5,2.5577777777777775,91.5,2.426031746031746,False,False,True,False
83.57,9.5,54.09,8.9,39.2,1,3,47.23,11.5,8.796842105263158,8.5,5.693684210526317,False,True,False,False
90.2,8.2,88.49,6.7,11.1,5,11,65.29,35.3,3.5652173913043477,121.5,3.4976284584980233,False,False,True,False
91.28,8.5,64.69,6.4,2.12,3,11,65.55,40.4,3.0026315789473688,88.19999999999999,2.1279605263157895,False,False,True,False
82.92,10.0,27.36,8.8,28.35,1,4,32.55,15.6,6.5809523809523816,11.6,2.1714285714285713,False,True,False,False
82.93,8.8,70.45,8.4,18.31,2,8,49.99,21.4,5.759027777777778,26.8,4.892361111111112,False,True,False,False
97.22,8.4,61.07,6.9,4.48,2,8,57.89,26.7,4.93502538071066,37.4,3.1,False,True,False,False
80.41,9.4,70.71,7.7,28.45,3,9,52.04,24.5,4.873333333333333,46.5,4.285454545454545,False,True,False,False
94.25,6.5,43.62,7.6,1.73,6,14,57.05,43.7,3.0700325732899025,178.2,1.4208469055374593,False,False,False,False
80.83,7.3,33.69,8.0,34.87,4,8,43.39,26.4,4.166494845360825,73.6,1.73659793814433,True,False,False,False
92.42,8.1,83.39,8.0,5.98,4,9,58.16,28.8,4.44326923076923,79.2,4.009134615384616,True,False,False,False
94.54,8.9,32.13,9.0,5.53,2,7,42.18,22.3,5.8,30.6,1.9711656441717793,False,True,False,False
93.78,7.2,76.53,7.1,7.44,6,15,61.24,43.9,3.1364548494983278,173.39999999999998,2.559531772575251,True,False,False,False
78.31,7.6,77.28,6.7,38.43,3,11,58.74,33.6,3.3182203389830507,67.80000000000001,3.2745762711864406,True,False,False,False
88.4,8.7,62.98,8.7,27.88,2,8,52.84,21.4,6.138888888888889,26.8,4.373611111111111,False,True,False,False
81.25,9.3,39.22,8.3,32.15,4,6,40.22,23.1,4.488950276243093,68.4,2.1668508287292814,True,False,False,False
86.27,7.9,76.71,5.5,16.21,3,9,71.64,33.1,3.437051792828685,72.30000000000001,3.0561752988047806,False,False,True,False
90.92,9.0,76.9,6.0,13.78,2,10,59.05,29.5,4.435121951219513,39.0,3.751219512195122,False,False,False,True
93.92,9.2,51.4,9.0,9.76,2,6,40.25,17.2,7.698360655737705,22.4,4.213114754098361,False,False,False,True
90.07,9.4,46.74,7.3,5.0,3,11,54.73,28.5,4.868648648648648,52.5,2.5264864864864864,False,True,False,False
90.26,8.5,60.36,7.4,22.3,2,8,51.61,25.5,4.878918918918919,35.0,3.2627027027027027,False,False,False,False
88.92,9.1,28.52,8.6,25.46,3,6,31.63,19.7,6.048979591836735,41.099999999999994,1.9401360544217687,False,True,False,False
94.07,8.2,85.06,7.1,10.66,3,13,71.72,37.5,3.689019607843137,73.5,3.335686274509804,False,False,False,False
84.62,8.3,75.81,7.4,37.97,5,9,58.23,29.0,4.02952380952381,100.0,3.6100000000000003,False,False,False,True
94.46,9.1,78.89,9.0,7.21,2,8,63.2,24.9,5.277094972067039,33.8,4.407262569832403,False,True,False,False
81.48,8.2,72.19,6.6,38.64,5,13,59.88,39.6,2.9521739130434783,133.0,2.615579710144927,False,False,True,False
89.61,8.2,73.32,7.4,1.09,3,12,57.94,35.7,3.6279352226720647,71.1,2.968421052631579,True,False,False,False
82.28,7.6,47.15,7.2,19.5,3,8,47.62,26.7,4.1766497461928935,56.099999999999994,2.3934010152284264,False,False,False,False
92.66,8.3,68.71,9.0,13.67,2,9,54.14,23.4,6.0168831168831165,28.8,4.461688311688311,True,False,False,False
90.57,7.8,67.74,7.6,18.24,4,10,63.49,32.5,3.8540425531914893,90.0,2.8825531914893614,True,False,False,False
85.86,8.6,73.57,9.0,23.04,4,11,49.44,30.6,4.167961165048544,78.4,3.5713592233009703,False,True,False,False
91.43,8.7,77.69,7.6,17.71,3,6,54.08,22.9,5.1078212290502805,50.699999999999996,4.340223463687151,True,False,False,False
88.21,7.7,91.62,7.3,16.89,4,11,70.12,35.8,3.418992248062015,99.2,3.5511627906976746,False,False,True,False
84.23,7.9,79.79,7.4,29.44,3,11,66.05,32.6,3.726991150442478,64.80000000000001,3.5305309734513273,True,False,False,False
85.72,9.7,71.78,9.0,27.59,2,6,43.77,14.6,8.929166666666667,17.2,7.477083333333334,False,True,False,False
78.41,7.7,43.5,7.4,33.41,5,13,45.73,37.4,3.087007874015748,122.0,1.7125984251968505,False,False,True,False
87.57,7.3,74.53,7.7,10.37,3,7,58.64,25.2,4.5609375,54.599999999999994,3.8817708333333334,False,False,False,True
80.29,8.4,65.41,6.5,24.58,4,11,46.35,33.0,3.4908695652173916,88.0,2.8439130434782607,True,False,False,False
88.32,9.0,44.92,7.6,23.62,1,4,39.37,13.5,8.411428571428571,9.5,4.278095238095238,False,True,False,False
85.08,8.7,31.11,7.5,15.1,2,9,48.72,30.7,3.7480176211453746,43.4,1.3704845814977973,False,False,False,True
86.74,8.6,65.27,8.1,19.7,1,8,51.73,21.1,6.1517730496453895,13.1,4.629078014184397,False,False,False,True
88.93,8.4,54.05,4.5,12.89,4,11,55.47,30.1,4.424378109452737,76.4,2.689054726368159,False,False,False,False
88.6,7.8,65.73,6.0,6.1,6,13,59.39,42.7,2.8859934853420195,178.2,2.141042345276873,False,False,True,False
87.0,7.6,69.5,6.9,8.95,4,6,49.05,22.8,4.887640449438202,67.2,3.9044943820224716,True,False,False,False
90.86,8.2,74.15,9.0,4.67,2,9,64.29,27.5,4.659487179487179,37.0,3.802564102564103,False,True,False,False
85.53,7.4,81.4,6.6,27.48,5,11,65.71,38.7,2.9801393728222996,138.5,2.8362369337979096,False,False,False,False
84.46,8.3,64.78,9.0,26.6,2,10,52.35,28.7,4.28730964467005,37.4,3.288324873096447,False,False,True,False
78.63,8.3,57.33,8.2,38.05,4,11,45.14,29.9,3.9512562814070353,75.6,2.8809045226130654,False,False,False,False
79.98,8.1,53.19,8.2,29.32,3,10,52.13,33.7,3.2380566801619435,71.1,2.1534412955465587,False,False,True,False
92.4,8.0,60.48,9.0,2.56,4,11,58.54,36.9,3.434944237918216,103.6,2.2483271375464686,False,False,True,False
82.17,9.3,38.11,9.0,35.43,2,6,39.85,19.4,5.70625,26.8,2.6465277777777776,True,False,False,False
81.99,7.4,93.41,8.8,34.58,7,18,71.34,54.4,2.192245989304813,254.79999999999998,2.4975935828877005,False,False,True,False
92.29,8.6,67.57,7.6,18.01,3,12,65.65,37.1,3.536015325670498,75.30000000000001,2.5888888888888886,False,False,False,False
81.3,8.5,47.03,8.2,23.64,3,13,61.62,38.2,3.1030534351145036,75.6,1.7950381679389313,False,False,True,False
83.5,9.0,51.4,7.1,39.06,2,12,54.86,33.6,3.6946902654867255,43.2,2.2743362831858405,True,False,False,False
85.59,9.5,62.09,6.9,21.53,2,8,46.13,22.1,5.668211920529802,28.2,4.111920529801325,True,False,False,False
76.78,8.0,65.31,4.8,36.26,2,11,61.12,33.3,3.2952789699570815,44.6,2.8030042918454936,False,False,False,False
94.28,8.8,29.95,9.0,3.78,1,7,39.25,20.4,6.5472222222222225,13.4,2.079861111111111,False,False,False,True
88.78,8.3,80.3,7.1,8.05,5,9,58.33,29.0,4.227619047619048,100.0,3.8238095238095235,False,False,False,True
84.8,8.7,55.15,6.8,17.91,3,9,57.36,33.1,3.378486055776892,72.30000000000001,2.197211155378486,False,False,True,False
89.96,9.7,24.89,7.6,23.6,1,4,28.07,6.3,27.26060606060606,2.3,7.542424242424243,False,True,False,False
82.78,8.6,44.2,6.7,32.74,2,12,50.01,34.1,3.5835497835497834,44.2,1.9134199134199135,False,False,True,False
77.28,7.3,67.91,9.0,39.54,4,12,56.5,34.0,3.36,88.0,2.9526086956521738,False,False,False,False
89.43,8.1,43.58,7.8,15.86,1,7,43.35,18.1,7.3909090909090915,11.1,3.6016528925619835,False,False,False,False
93.6,9.0,38.29,8.0,2.37,3,10,42.39,30.4,4.373831775700935,61.199999999999996,1.7892523364485982,False,False,False,False
81.2,8.9,56.88,8.5,32.15,3,10,51.56,26.8,4.561797752808989,50.400000000000006,3.195505617977528,False,False,False,False
88.74,8.9,70.25,5.9,24.37,5,11,65.01,33.0,3.858260869565217,110.0,3.0543478260869565,False,False,False,False
92.54,8.0,38.15,8.7,8.34,2,8,47.51,28.0,4.406666666666667,40.0,1.8166666666666667,True,False,False,False
91.7,9.5,45.23,7.8,20.05,1,3,41.87,11.4,9.75531914893617,8.4,4.811702127659574,False,False,False,True
86.58,8.1,58.98,8.1,29.82,2,7,47.02,21.9,5.445283018867924,29.8,3.709433962264151,False,False,False,False
82.5,9.4,32.77,7.9,30.93,2,6,32.79,20.1,5.4635761589403975,28.2,2.170198675496689,False,True,False,False
86.17,9.1,51.83,8.6,5.0,1,4,43.73,16.4,6.4305970149253735,12.4,3.8679104477611936,False,True,False,False
93.52,9.2,28.69,9.0,12.56,2,3,40.06,12.7,8.74018691588785,19.4,2.6813084112149537,False,True,False,False
76.86,9.6,26.56,7.8,38.96,1,4,33.85,15.3,6.248780487804877,11.3,2.159349593495935,False,True,False,False
85.59,8.4,60.59,7.8,26.7,2,8,54.48,21.1,6.070212765957447,26.2,4.297163120567376,True,False,False,False
84.14,9.1,37.63,7.6,16.63,1,4,45.74,15.0,7.011666666666667,11.0,3.1358333333333337,False,True,False,False
91.49,7.8,41.25,6.7,11.58,3,10,49.65,28.7,4.644162436548223,56.099999999999994,2.0939086294416245,False,False,False,False
86.75,8.2,63.32,7.0,29.38,5,13,63.13,44.6,2.661042944785276,158.0,1.9423312883435582,False,False,True,False
88.39,8.9,74.33,7.9,10.07,1,5,51.46,19.5,5.70258064516129,14.5,4.795483870967741,False,True,False,False
91.41,8.3,71.83,7.9,7.28,4,13,62.94,37.9,3.5293436293436296,99.6,2.7733590733590736,True,False,False,False
87.56,8.4,76.86,6.3,21.43,2,12,60.57,34.5,3.725957446808511,45.0,3.2706382978723405,True,False,False,False
91.66,9.7,71.96,7.6,11.95,1,8,57.85,21.3,6.409790209790209,13.3,5.032167832167832,False,True,False,False
88.36,8.0,93.49,7.9,25.34,5,12,71.61,38.5,3.213090909090909,132.5,3.3996363636363633,False,False,True,False
94.53,9.3,65.98,7.8,5.16,4,8,50.21,28.4,4.417289719626169,81.6,3.0831775700934583,False,True,False,False
89.16,8.6,65.46,5.6,26.37,4,9,66.89,32.9,3.580722891566265,95.6,2.6289156626506025,True,False,False,False
90.3,7.7,48.1,7.7,5.0,3,7,42.22,21.1,5.9801324503311255,42.3,3.185430463576159,False,False,False,True
90.83,8.7,45.99,8.3,0.51,4,11,53.23,32.3,4.0730941704035875,85.2,2.0623318385650222,False,False,False,False
89.84,9.1,69.77,7.8,5.51,1,9,58.04,26.3,4.909289617486339,17.3,3.8125683060109288,True,False,False,False
84.76,8.9,78.72,9.0,37.38,3,9,52.14,27.1,4.437696335078534,54.300000000000004,4.121465968586387,False,True,False,False
77.28,8.5,61.7,6.2,34.76,2,9,51.15,29.5,3.594418604651163,41.0,2.869767441860465,False,False,False,False
91.59,8.3,63.8,8.8,9.73,4,11,52.18,31.3,4.3,81.2,2.9953051643192485,False,True,False,False
85.59,8.7,51.23,6.8,31.25,3,6,46.85,22.5,4.8908571428571435,49.5,2.927428571428571,False,True,False,False
82.66,9.6,51.76,8.6,24.54,3,6,41.56,20.1,5.474172185430463,42.3,3.427814569536424,False,False,False,True
81.23,9.2,58.57,8.6,38.85,4,11,52.5,30.5,3.9624390243902443,78.0,2.857073170731707,False,False,False,False
91.36,8.1,63.75,7.4,15.26,4,10,54.39,32.4,3.9042735042735046,89.6,2.7243589743589745,False,False,False,False
87.42,8.4,48.18,8.7,27.42,2,9,47.15,24.6,5.266265060240963,31.2,2.9024096385542166,False,False,False,True
93.93,9.0,73.18,8.5,3.01,2,11,57.75,31.9,4.289041095890411,41.8,3.3415525114155256,True,False,False,False
92.61,9.2,72.08,7.6,16.15,2,8,60.22,24.4,5.322413793103449,32.8,4.142528735632184,False,True,False,False
76.72,7.4,88.56,5.6,38.57,6,16,75.73,49.8,2.2045977011494253,202.79999999999998,2.544827586206897,False,False,True,False
86.58,8.7,36.52,8.5,5.0,1,7,28.52,17.7,7.4,10.7,3.121367521367522,False,True,False,False
90.78,7.6,73.28,6.9,11.87,5,7,60.0,26.2,4.494059405940594,96.0,3.627722772277228,False,True,False,False
97.88,8.1,50.79,5.4,5.25,6,11,52.38,39.3,3.3406143344709895,169.8,1.733447098976109,True,False,False,False
80.51,9.0,41.01,9.0,28.29,1,6,32.21,15.8,7.45462962962963,9.8,3.7972222222222216,False,True,False,False
84.68,8.1,67.97,8.2,25.97,4,10,58.18,30.0,4.032380952380953,80.0,3.236666666666667,False,False,False,True
89.49,8.9,44.76,9.0,15.27,1,9,44.33,25.7,5.055932203389831,16.7,2.528813559322034,False,False,False,True
77.16,8.2,38.91,8.4,38.06,4,10,50.03,28.8,3.8969696969696965,75.2,1.9651515151515149,False,False,False,False
98.82,7.8,60.55,6.7,1.38,4,10,65.44,34.2,3.9214285714285713,96.8,2.4027777777777777,False,False,True,False
91.33,8.6,63.68,7.3,12.5,3,5,46.17,18.0,6.523571428571429,39.0,4.548571428571429,False,True,False,False
79.49,9.2,41.98,7.7,36.88,1,8,40.04,22.7,5.063057324840765,14.7,2.6738853503184714,False,True,False,False
90.12,8.4,66.63,9.0,13.18,3,8,56.68,21.6,6.1726027397260275,40.8,4.563698630136986,True,False,False,False
94.0,7.2,64.31,6.2,10.46,6,10,57.95,35.8,3.507462686567164,154.8,2.399626865671642,False,False,False,True
88.37,6.8,80.36,7.2,21.6,6,17,64.0,50.9,2.5320916905444126,203.39999999999998,2.3025787965616047,False,False,True,False
83.78,8.8,85.34,6.7,33.04,4,12,62.62,36.5,3.2854901960784315,98.0,3.3466666666666667,False,False,False,False
88.25,8.0,51.79,6.3,4.57,4,10,54.32,31.0,4.011363636363637,84.0,2.354090909090909,False,False,False,True
81.64,8.8,45.15,7.5,37.75,3,8,41.88,26.6,4.165306122448979,55.800000000000004,2.3035714285714284,False,False,False,False
85.19,8.4,49.54,8.0,31.91,4,11,57.34,29.5,4.368717948717949,74.0,2.5405128205128205,True,False,False,False
88.71,8.6,55.77,9.0,7.66,1,10,49.72,26.6,5.040340909090908,16.6,3.1687499999999997,True,False,False,False
84.34,9.1,63.26,7.7,28.62,2,7,48.9,26.8,4.054807692307692,39.6,3.0413461538461535,False,True,False,False
89.28,8.6,40.72,7.1,15.71,4,8,44.02,26.8,4.509090909090909,75.2,2.0565656565656565,False,False,True,False
87.95,8.9,53.37,7.6,16.39,3,11,59.91,35.1,3.50398406374502,72.30000000000001,2.1262948207171313,False,False,False,False
81.47,9.4,70.89,8.8,31.44,3,8,51.24,27.5,3.9741463414634146,58.5,3.458048780487805,False,False,False,True
78.68,9.1,68.9,7.6,5.0,2,12,60.06,33.3,3.5282511210762335,42.6,3.089686098654709,True,False,False,False
97.45,8.9,64.25,7.1,5.5,2,8,57.9,18.7,8.32905982905983,21.4,5.4914529914529915,False,True,False,False
84.97,8.7,68.65,7.6,17.11,3,8,55.97,25.5,4.592972972972973,52.5,3.7108108108108113,False,True,False,False
90.25,9.1,79.08,8.3,19.5,3,8,60.89,28.3,4.237089201877934,60.900000000000006,3.712676056338028,False,False,False,False
90.93,8.7,69.52,8.6,15.36,4,8,51.43,29.7,4.005726872246696,86.8,3.062555066079295,True,False,False,False
92.33,8.0,64.18,6.3,14.85,6,16,61.81,48.4,2.76437125748503,194.39999999999998,1.9215568862275452,False,False,True,False
91.3,9.2,86.1,7.7,2.56,4,9,57.52,27.4,4.706185567010309,73.6,4.438144329896907,True,False,False,False
83.13,8.9,67.3,6.8,27.58,2,13,58.71,35.5,3.537446808510638,45.0,2.8638297872340424,False,False,False,False
85.35,8.1,47.15,8.6,17.73,4,8,54.19,25.5,4.613513513513513,70.0,2.5486486486486486,False,False,False,False
90.19,8.8,48.1,7.3,8.19,2,8,46.44,22.1,5.972847682119205,28.2,3.185430463576159,True,False,False,False
85.87,8.0,74.15,6.9,32.73,3,11,64.43,32.0,3.9031818181818183,63.0,3.3704545454545456,False,False,False,False
84.1,7.6,82.86,7.9,32.2,6,13,66.33,42.3,2.7755775577557755,175.8,2.7346534653465344,True,False,False,False
87.04,8.4,37.83,8.4,19.71,4,10,46.02,31.6,3.8513274336283185,86.4,1.6738938053097343,False,False,False,True
92.04,9.1,36.53,9.0,12.29,2,6,41.54,18.3,6.920300751879699,24.6,2.7466165413533834,True,False,False,False
87.65,8.4,80.48,6.4,25.7,5,9,60.23,33.7,3.410505836575876,123.5,3.131517509727627,True,False,False,False
86.55,7.6,86.34,7.6,11.88,4,12,64.37,34.3,3.7145922746781115,89.2,3.705579399141631,False,False,False,False
88.59,7.8,51.2,9.0,9.82,4,8,52.03,26.0,4.6626315789473685,72.0,2.694736842105263,False,False,False,False
84.81,10.0,44.75,9.0,29.36,1,6,38.48,11.5,13.047692307692309,5.5,6.884615384615385,False,True,False,False
91.51,8.7,60.31,8.1,5.0,5,10,56.51,34.6,3.574609375,123.0,2.355859375,False,True,False,False
92.03,8.5,46.15,8.3,4.24,2,11,52.48,31.3,4.320657276995305,40.6,2.1666666666666665,False,False,False,True
99.65,7.4,72.24,9.0,0.77,2,10,55.83,25.2,6.151234567901235,30.4,4.459259259259259,False,True,False,False
93.58,8.2,37.92,8.6,6.54,2,8,51.12,25.8,4.977659574468085,35.6,2.0170212765957447,True,False,False,False
95.81,8.9,38.09,8.2,3.23,2,7,52.71,24.1,5.2933701657458565,34.2,2.1044198895027626,False,False,False,False
